condition,method,targets,mean_best_of_k_tm_like,mean_tm_like_regret,oracle_hit_rate
real,group_calibrated_hybrid,10,0.2915484661880681,0.03326372761207272,0.7
real,group_mean,10,0.2915484661880681,0.03326372761207272,0.7
real,group_oracle_rate,10,0.2915484661880681,0.03326372761207272,0.7
real,low_clash,10,0.11617554469036458,0.20863664910977628,0.0
real,contact,10,0.06173876313387633,0.26307343066626454,0.0
real,compact,10,0.059527780539453824,0.265284413260687,0.0
real,hybrid,10,0.05887758503040684,0.265934608769734,0.0
mask_oracle_group,group_mean,10,0.20054067967595218,0.12427151412418869,0.0
mask_oracle_group,group_oracle_rate,10,0.13648815448786808,0.18832403931227276,0.0
mask_oracle_group,group_calibrated_hybrid,10,0.12122123713575346,0.20359095666438737,0.0
mask_oracle_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0
mask_oracle_group,contact,10,0.06173876313387633,0.26307343066626454,0.0
mask_oracle_group,compact,10,0.059527780539453824,0.265284413260687,0.0
mask_oracle_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0
