target_id,candidate_id,candidate_path,candidate_source,native_path,has_native
1EHZ,decoy_001_small_noise,data/real/candidates/1EHZ/decoy_001_small_noise.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_002_medium_noise,data/real/candidates/1EHZ/decoy_002_medium_noise.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_003_large_noise,data/real/candidates/1EHZ/decoy_003_large_noise.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_004_loop_distortion,data/real/candidates/1EHZ/decoy_004_loop_distortion.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_005_partial_collapse,data/real/candidates/1EHZ/decoy_005_partial_collapse.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_006_over_expansion,data/real/candidates/1EHZ/decoy_006_over_expansion.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_007_local_clash,data/real/candidates/1EHZ/decoy_007_local_clash.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_008_backbone_shift,data/real/candidates/1EHZ/decoy_008_backbone_shift.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_009_segment_bend,data/real/candidates/1EHZ/decoy_009_segment_bend.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_010_small_noise,data/real/candidates/1EHZ/decoy_010_small_noise.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_011_medium_noise,data/real/candidates/1EHZ/decoy_011_medium_noise.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_012_large_noise,data/real/candidates/1EHZ/decoy_012_large_noise.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_013_loop_distortion,data/real/candidates/1EHZ/decoy_013_loop_distortion.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_014_partial_collapse,data/real/candidates/1EHZ/decoy_014_partial_collapse.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_015_over_expansion,data/real/candidates/1EHZ/decoy_015_over_expansion.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_016_local_clash,data/real/candidates/1EHZ/decoy_016_local_clash.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_017_backbone_shift,data/real/candidates/1EHZ/decoy_017_backbone_shift.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_018_segment_bend,data/real/candidates/1EHZ/decoy_018_segment_bend.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_019_small_noise,data/real/candidates/1EHZ/decoy_019_small_noise.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_020_medium_noise,data/real/candidates/1EHZ/decoy_020_medium_noise.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_021_large_noise,data/real/candidates/1EHZ/decoy_021_large_noise.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_022_loop_distortion,data/real/candidates/1EHZ/decoy_022_loop_distortion.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_023_partial_collapse,data/real/candidates/1EHZ/decoy_023_partial_collapse.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_024_over_expansion,data/real/candidates/1EHZ/decoy_024_over_expansion.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_025_local_clash,data/real/candidates/1EHZ/decoy_025_local_clash.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_026_backbone_shift,data/real/candidates/1EHZ/decoy_026_backbone_shift.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_027_segment_bend,data/real/candidates/1EHZ/decoy_027_segment_bend.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_028_small_noise,data/real/candidates/1EHZ/decoy_028_small_noise.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_029_medium_noise,data/real/candidates/1EHZ/decoy_029_medium_noise.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,decoy_030_large_noise,data/real/candidates/1EHZ/decoy_030_large_noise.pdb,synthetic_decoy,data/real/candidates/1EHZ/native.pdb,True
1EHZ,template_1F7Y_001,data/real/candidates/1EHZ/template_1F7Y_001.pdb,template,data/real/candidates/1EHZ/native.pdb,True
1EHZ,template_1XJR_003,data/real/candidates/1EHZ/template_1XJR_003.pdb,template,data/real/candidates/1EHZ/native.pdb,True
1EHZ,template_2Q1O_004,data/real/candidates/1EHZ/template_2Q1O_004.pdb,template,data/real/candidates/1EHZ/native.pdb,True
1EHZ,template_4RBQ_005,data/real/candidates/1EHZ/template_4RBQ_005.pdb,template,data/real/candidates/1EHZ/native.pdb,True
1EHZ,template_4RNE_002,data/real/candidates/1EHZ/template_4RNE_002.pdb,template,data/real/candidates/1EHZ/native.pdb,True
1F7Y,decoy_001_small_noise,data/real/candidates/1F7Y/decoy_001_small_noise.pdb,synthetic_decoy,data/real/candidates/1F7Y/native.pdb,True
1F7Y,decoy_002_medium_noise,data/real/candidates/1F7Y/decoy_002_medium_noise.pdb,synthetic_decoy,data/real/candidates/1F7Y/native.pdb,True
1F7Y,decoy_003_large_noise,data/real/candidates/1F7Y/decoy_003_large_noise.pdb,synthetic_decoy,data/real/candidates/1F7Y/native.pdb,True
1F7Y,decoy_004_loop_distortion,data/real/candidates/1F7Y/decoy_004_loop_distortion.pdb,synthetic_decoy,data/real/candidates/1F7Y/native.pdb,True
1F7Y,decoy_005_partial_collapse,data/real/candidates/1F7Y/decoy_005_partial_collapse.pdb,synthetic_decoy,data/real/candidates/1F7Y/native.pdb,True
1F7Y,decoy_006_over_expansion,data/real/candidates/1F7Y/decoy_006_over_expansion.pdb,synthetic_decoy,data/real/candidates/1F7Y/native.pdb,True
1F7Y,decoy_007_local_clash,data/real/candidates/1F7Y/decoy_007_local_clash.pdb,synthetic_decoy,data/real/candidates/1F7Y/native.pdb,True
1F7Y,decoy_008_backbone_shift,data/real/candidates/1F7Y/decoy_008_backbone_shift.pdb,synthetic_decoy,data/real/candidates/1F7Y/native.pdb,True
