heldout_oracle_group,method,targets,mean_best_of_k_tm_like,mean_tm_like_regret,oracle_hit_rate
TS128,invariant_rf,2,0.0622668310244688,0.1930423362548057,0.0
TS128,invariant_gbr,2,0.0617490789350583,0.19356008834421617,0.0
TS128,compact,2,0.05556860212502625,0.19974056515424823,0.0
TS128,low_clash,2,0.05480791477005245,0.20050125250922204,0.0
TS128,invariant_ensemble,2,0.042464713295384704,0.2128444539838898,0.0
TS128,invariant_ridge,2,0.041069442378194,0.2142397249010805,0.0
TS128,contact,2,0.0357879631310133,0.2195212041482612,0.0
TS128,hybrid,2,0.0357879631310133,0.2195212041482612,0.0
TS128,invariant_pairwise,2,0.0347504405933096,0.22055872668596488,0.0
TS232,low_clash,7,0.1447630266128188,0.2347634616014602,0.0
TS232,invariant_ridge,7,0.11332946909639766,0.26619701911788135,0.0
TS232,invariant_pairwise,7,0.08116637002880636,0.29836011818547264,0.0
TS232,contact,7,0.07040252699331788,0.30912396122096114,0.0
TS232,invariant_ensemble,7,0.06998636432660012,0.30954012388767893,0.0
TS232,hybrid,7,0.06631512970264718,0.31321135851163184,0.0
TS232,compact,7,0.06606591024019601,0.313460577974083,0.0
TS232,invariant_rf,7,0.04771576945354416,0.33181071876073487,0.0
TS232,invariant_gbr,7,0.04735942537361546,0.33216706284066355,0.0
TS285,invariant_ensemble,1,0.0808181859429064,0.0,1.0
TS285,invariant_gbr,1,0.0808181859429064,0.0,1.0
TS285,invariant_rf,1,0.0808181859429064,0.0,1.0
TS285,contact,1,0.0529940161235115,0.02782416981939491,0.0
TS285,hybrid,1,0.0529940161235115,0.02782416981939491,0.0
TS285,invariant_ridge,1,0.049821010776632,0.030997175166274406,0.0
TS285,invariant_pairwise,1,0.0492623627480973,0.0315558231948091,0.0
TS285,low_clash,1,0.0387984310738092,0.0420197548690972,0.0
TS285,compact,1,0.0216792294631136,0.05913895647979281,0.0
