target_id,candidate_id,candidate_path,candidate_source,native_path,has_native
R1107,casp15_R1107TS029_1,data/casp15_rna/candidates/R1107/casp15_R1107TS029_1.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS029_2,data/casp15_rna/candidates/R1107/casp15_R1107TS029_2.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS035_1,data/casp15_rna/candidates/R1107/casp15_R1107TS035_1.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS035_2,data/casp15_rna/candidates/R1107/casp15_R1107TS035_2.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS035_3,data/casp15_rna/candidates/R1107/casp15_R1107TS035_3.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS035_4,data/casp15_rna/candidates/R1107/casp15_R1107TS035_4.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS035_5,data/casp15_rna/candidates/R1107/casp15_R1107TS035_5.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS054_1,data/casp15_rna/candidates/R1107/casp15_R1107TS054_1.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS054_2,data/casp15_rna/candidates/R1107/casp15_R1107TS054_2.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS054_3,data/casp15_rna/candidates/R1107/casp15_R1107TS054_3.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS054_4,data/casp15_rna/candidates/R1107/casp15_R1107TS054_4.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS054_5,data/casp15_rna/candidates/R1107/casp15_R1107TS054_5.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS076_1,data/casp15_rna/candidates/R1107/casp15_R1107TS076_1.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS076_2,data/casp15_rna/candidates/R1107/casp15_R1107TS076_2.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS076_3,data/casp15_rna/candidates/R1107/casp15_R1107TS076_3.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS076_4,data/casp15_rna/candidates/R1107/casp15_R1107TS076_4.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS076_5,data/casp15_rna/candidates/R1107/casp15_R1107TS076_5.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS081_1,data/casp15_rna/candidates/R1107/casp15_R1107TS081_1.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS081_2,data/casp15_rna/candidates/R1107/casp15_R1107TS081_2.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS081_3,data/casp15_rna/candidates/R1107/casp15_R1107TS081_3.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
R1107,casp15_R1107TS081_4,data/casp15_rna/candidates/R1107/casp15_R1107TS081_4.pdb,casp,data/casp15_rna/natives/R1107_7QR4.pdb,True
