target_id,method,oracle_candidate,oracle_group,oracle_tm_like,oracle_rmsd,selected_top1_candidate,selected_top1_group,selected_best_in_top5_candidate,selected_best_group,best_of_5_tm_like,best_of_5_rmsd,tm_like_regret,oracle_in_top5
R1107,hybrid,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,casp15_R1107TS285_3,TS285,casp15_R1107TS054_4,TS054,0.1191397753415253,7.849785699594579,0.1985130833032568,False
R1107,compact,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,casp15_R1107TS285_3,TS285,casp15_R1107TS125_1,TS125,0.120924050831857,7.783761935127175,0.1967288078129251,False
R1107,low_clash,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,casp15_R1107TS029_1,TS029,casp15_R1107TS287_4,TS287,0.1603577049038492,6.605944592510858,0.1572951537409329,False
R1107,contact,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,casp15_R1107TS285_3,TS285,casp15_R1107TS054_4,TS054,0.1191397753415253,7.849785699594579,0.1985130833032568,False
R1107,group_mean,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,casp15_R1107TS232_1,TS232,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,0.0,True
R1107,group_max,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,casp15_R1107TS232_1,TS232,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,0.0,True
R1107,group_oracle_rate,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,casp15_R1107TS232_1,TS232,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,0.0,True
R1107,group_calibrated_hybrid,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,casp15_R1107TS232_5,TS232,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,0.0,True
R1107,group_calibrated_compact,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,casp15_R1107TS232_3,TS232,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,0.0,True
R1108,hybrid,casp15_R1108TS232_4,TS232,0.3262421322933785,4.148724446451004,casp15_R1108TS385_4,TS385,casp15_R1108TS489_5,TS489,0.0832001107027511,9.583143979048623,0.2430420215906274,False
